Tahun_sipsn,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2,Unnamed: 0,Tahun_tpa,P,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahmasuk Landfill (ton/thn),Sampah Organikterolah (ton/thn),Sampah An-Organikterolah (ton/thn),RecoveryPemulung (ton/thn),Energi(MW),Alamat,Kelurahan,Kecamatan,Pengelola,Luas (hektar),Sistem Operasional,Tgl Awal Operasi,Tgl. Akhir Operasi,Luas Landfill Aktif (m2),Pencatatan,Jembatan Timbang,Penutupan Sampah Zona Aktif,Jml Sumur Pantau,IPL,Jml Uji Lindi,Ada Drainase,Pemanfaatan Gas Metana,Jumlah KK yang memanfaatkan gas Metana
2025.0,Aceh,Kab. Aceh Timur,67363.09,1.88,0.0,21109.05,31.34,21110.93,31.34,0.0,861.4,1.28,P 1,,2025.0,2.0,TPA Lhok Tujoh,TPA Pemda (Non Regional),A,20495.29,20312.79,0.0,0.0,182.5,0.0,Gampong Seuneubok Teungoh,,,Pemda DATI II,5,Open Dumping,2016,-,42000,Manual Book,Tidak Ada,Tiga atau Empat Bulan Sekali,-,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",-,TIDAK ADA,-,-
2025.0,Aceh,Kab. Aceh Timur,67363.09,1.88,0.0,21109.05,31.34,21110.93,31.34,0.0,861.4,1.28,P 1,,2025.0,2.0,TPA BIREM BAYEUN,TPA Pemda (Non Regional),A,9072.41,8962.91,0.0,0.0,109.5,0.0,"Jalan Banda Aceh-Medan, Lorong Pipa",,,Pemda DATI II,2.06,Open Dumping,2011,-,15000,Manual Book,Tidak Ada,Dua minggu sekali,-,Tidak ada Instalasi Pengolahan Air Lindi (IPAL) di TPA,-,TIDAK ADA,-,-
2025.0,Aceh,Kab. Aceh Utara,116983.78,0.0,0.0,1444.15,1.23,1444.15,1.23,0.0,1444.15,1.23,P 1,,2025.0,2.0,TPA TEUPIN KEUBEU,TPA Pemda (Non Regional),A,18067.5,17337.5,0.0,0.0,730.0,0.0,Jalan Bukit Hagu Gampong Seuneubok Dalam Kecamatan Lhoksukon Kabupaten Aceh Utara,,,Pemda DATI II,32,Open Dumping,1 Maret 2008,-,4500,Manual Book,Ada tapi sedang rusak,Tidak ditutup sama sekali,1,-,-,TIDAK ADA,-,-
2025.0,Aceh,Kab. Bener Meriah,25117.26,13.23,0.05,11585.4,46.13,11598.62,46.18,0.0,2190.3,8.72,P 1,,2025.0,1.0,TPA Uber-Uber,TPA Pemda (Non Regional),A,9395.1,8665.1,0.0,0.0,730.0,0.0,Desa Perumpakan Benjadi,,,Pemda DATI II,10,Control Landfill,2020,-,500,Manual Book,Tidak Ada,Tiga hari sekali atau seminggu dua kali,-,Tidak ada Instalasi Pengolahan Air Lindi (IPAL) di TPA,-,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Aceh,Kab. Bireuen,59840.29,0.0,0.0,10037.5,16.77,10037.5,16.77,0.0,10037.5,16.77,P 1,,2025.0,1.0,TPS Blang Beururu,TPA Pemda (Non Regional),A,27615.9,27615.9,0.0,0.0,0.0,0.0,"Desa Blang Beururu, Kecamatan Peudada, Kabupaten Bireuen",,,Pemda DATI II,1164,Open Dumping,1 Januari 2019,-,0,Manual Book,Tidak Ada,Tidak ditutup sama sekali,-,Tidak ada Instalasi Pengolahan Air Lindi (IPAL) di TPA,-,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Aceh,Kab. Gayo Lues,15308.98,0.0,0.0,547.5,3.58,547.5,3.58,0.0,547.5,3.58,P 1,,2025.0,2.0,TPA Blangnangka,TPA Pemda (Non Regional),A,9125.0,8760.0,0.0,0.0,365.0,0.0,Kampung Akul,Sekuelen,Blang Jerango,Pemda DATI II,5,Open Dumping,01/01/2014,-,400,Manual Book,Tidak Ada,Sebulan sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",-,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Aceh,Kab. Nagan Raya,26441.04,8.79,0.03,18176.13,68.74,18184.92,68.78,0.58,6751.63,25.54,P 1,,2025.0,2.0,TPA BABAH DUA,TPA Pemda (Non Regional),A,9891.5,9698.05,182.5,0.0,10.95,0.0,BABAH DUA,,,Pemda DATI II,10.5,Control Landfill,2016,2036,10000,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,1,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",111,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Aceh,Kab. Pidie,66713.53,0.0,0.0,2040.46,3.06,2040.46,3.06,0.0,2040.46,3.06,P 1,,2025.0,2.0,TPA Cot Padang Lila,TPA Pemda (Non Regional),A,19403.4,19403.4,0.0,0.0,0.0,0.0,"Tunong Tanjong, Padang Tiji, Pidie Regency, Aceh",Gampong Tunong Tanjong,Padang Tiji,Pemda DATI II,4.55,Control Landfill,17-10-2012,30 Juni 2022,35000,Manual Book,Tidak Ada,Tujuh hari sekali atau Seminggu Sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",1,ADA,-,-
,Aceh,Kab. Pidie Jaya,,,,,,,,,,,,,2025.0,2.0,TPA BLANG AWE,TPA Pemda (Non Regional),A,7300.0,7300.0,0.0,0.0,0.0,0.0,BLANG AWE KECAMATAN MEUREUDU,,,Pemda DATI II,10,Open Dumping,JANUARI 2012,-,-,Manual Book,Tidak Ada,Tidak ditutup sama sekali,-,Tidak ada Instalasi Pengolahan Air Lindi (IPAL) di TPA,-,TIDAK ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Aceh,Kab. Simeulue,16874.05,0.0,0.0,769.3,4.56,769.3,4.56,0.0,769.3,4.56,P 1,,2025.0,2.0,TPA Suak Buluh,TPA Pemda (Non Regional),A,6807.25,6752.5,0.0,18.25,36.5,0.0,Jln. PDKS,Suak Buluh,Simeulue Timur,Pemda DATI II,5.62,Open Dumping,15 November 2017,-,6376,Manual Book,Tidak Ada,Sebulan sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",2,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Aceh,Kota Banda Aceh,88025.52,839.61,0.95,14562.46,16.54,15402.07,17.5,834.11,14562.46,17.49,P 1,,2025.0,2.0,TPA Regional Blang Bintang,TPA Regional,A,28152.45,28152.45,0.0,0.0,0.0,0.0,Jl. Radar Km 08,Data Makmur,Blang Bintang,Pemda DATI I,206,Open Dumping,13 April,-,20000,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Dua minggu sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",4,ADA,Untuk Energi Listrik,-
2025.0,Aceh,Kota Banda Aceh,88025.52,839.61,0.95,14562.46,16.54,15402.07,17.5,834.11,14562.46,17.49,P 1,,2025.0,2.0,TPA Kota Banda Aceh,TPA Pemda (Non Regional),A,42226.85,41635.55,0.0,0.0,591.3,0.0,Jl. Tgk Dianjong,Gampong Jawa,Kuta Raja,,23.3,Control Landfill,Januari 2010,-,9500,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",3,ADA,Untuk Energi Listrik,-
2025.0,Aceh,Kota Langsa,33564.31,514.1,1.53,21363.65,63.65,21877.75,65.18,5.84,843.72,2.53,P 1,,2025.0,2.0,TPA Kota Langsa,TPA Pemda (Non Regional),A,21019.26,20825.81,63.88,129.58,0.0,0.0,Jalan Kebun Ireng,Pondok Keumuning,Langsa Lama,Pemda DATI II,0,Control Landfill,2008,-,10500,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tiga hari sekali atau seminggu dua kali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",1,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Aceh,Kota Lhokseumawe,37239.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.0,Aceh,Kota Sabang,7716.16,0.0,0.0,5391.05,69.87,5391.05,69.87,0.0,0.0,0.0,P 1,,2025.0,2.0,TPA LHOK BATEE,TPA Pemda (Non Regional),A,5391.05,5391.05,0.0,0.0,0.0,0.0,JALAN SABANG BALOHAN JORONG LHOK BATEE,GAMPONG COT ABEUK,SUKAJAYA,Pemda DATI II,5.14,Control Landfill,2000,2024,5400,Manual Book,Tidak Ada,Sebulan sekali,1,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",1,ADA,-,-
2025.0,Aceh,Kota Subulussalam,19263.42,0.0,0.0,109.5,0.57,109.5,0.57,0.0,109.5,0.57,P 1,,2025.0,2.0,TPA SARKEA KOTA SUBULUSSALAM,TPA Pemda (Non Regional),A,12775.0,10950.0,0.0,0.0,1825.0,0.0,KAMPONG DANAU TRAS KECAMATAN SIMPANG KIRI,KAMPONG DANAU TRAS,SIMPANG KIRI,Pemda DATI II,6899,-,-,-,-,Manual Book,-,Tidak ditutup sama sekali,-,Tidak ada Instalasi Pengolahan Air Lindi (IPAL) di TPA,-,TIDAK ADA,-,-
2025.0,Bali,Kab. Badung,164871.08,9937.13,6.03,149373.0,90.6,159310.13,96.63,9937.13,47757.0,34.99,P 1,,2025.0,2.0,TPA Regional Sarbagita,TPA Regional,A,102200.0,102200.0,0.0,0.0,0.0,0.0,JL. TPA Suwung,Sesetan,Denpasar Selatan,Pemda DATI I,10,Open Dumping,-,2030,50000,Manual Book,Ada tapi sedang rusak,Sebulan sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi serta proses kimia, masih berfungsi baik dan terawat.",1,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Bali,Kab. Bangli,41683.73,2607.66,6.26,7694.94,18.46,10302.59,24.72,2586.85,7694.94,24.67,P 1,,2025.0,2.0,TPA BANGLI,TPA Pemda (Non Regional),A,26134.0,25623.0,0.0,0.0,511.0,0.0,JL. RAYA LANDIH,LANDIH,BANGLI,Pemda DATI II,4.75,Open Dumping,10 JANUARI 2008,-,10002,Manual Book,Tidak Ada,Tiga atau Empat Bulan Sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",1,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Bali,Kab. Buleleng,150779.68,0.0,0.0,111567.09,73.99,111567.09,73.99,0.0,16411.59,10.88,P 1,,2025.0,2.0,TPA Bengkala,TPA Pemda (Non Regional),A,101298.45,100776.5,292.0,120.45,109.5,0.0,Jln. Raya Singaraja-Kintamani,Desa Bungkulan,Sawan,Pemda DATI II,4.8,Control Landfill,1 Januari 2004,-,18342.61,Manual Book,Tidak Ada,Tiga hari sekali atau seminggu dua kali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",4,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Bali,Kab. Gianyar,204765.0,28481.0,13.91,79550.37,38.85,108031.37,52.76,28481.0,52025.71,39.32,P 1,,2025.0,1.0,TPA Temesi,TPA Pemda (Non Regional),A,27524.65,27524.65,0.0,0.0,0.0,0.0,Jalar Raya Temesi,Temesi,Gianyar,Pemda DATI II,5.4,Control Landfill,-,-,15700,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Tidak Ada,Tujuh hari sekali atau Seminggu Sekali,-,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",-,ADA,-,-
2025.0,Bali,Kab. Jembrana,60384.32,95.05,0.16,15935.52,26.39,16030.57,26.55,5.84,12979.02,21.5,P 1,,2025.0,2.0,TPA Peh,TPA Pemda (Non Regional),A,19345.0,16717.0,0.0,0.0,2628.0,0.0,Banjar Peh,Kaliakah,Negara,Pemda DATI II,2,Open Dumping,-,-,7300,Manual Book,Ada dan berfungsi dengan baik,Tidak ditutup sama sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",12,ADA,-,-
2025.0,Bali,Kab. Karangasem,106506.31,580.72,0.55,9682.6,9.09,10263.31,9.64,580.72,9682.6,9.64,P 1,,2025.0,2.0,TPA BUTUS,TPA Pemda (Non Regional),A,10950.0,9052.0,730.0,1095.0,73.0,0.0,BR.DINAS BUTUS,BHUANA GIRI,BEBANDEM,Pemda DATI II,1,Open Dumping,1 Januari 2019,-,77,Manual Book,Ada tapi sedang rusak,Setahun Sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",3,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Bali,Kab. Klungkung,41782.11,624.09,1.49,23426.93,56.07,24051.02,57.56,623.79,23231.66,57.09,P 1,,2025.0,2.0,TPA Sente,TPA Pemda (Non Regional),A,5591.07,5591.07,0.0,0.0,0.0,0.0,Dusun Sente,,,Pemda DATI II,0.98,Open Dumping,-,-,9800,Manual Book,Tidak Ada,Setahun Sekali,-,-,-,TIDAK ADA,-,-
2025.0,Bali,Kab. Klungkung,41782.11,624.09,1.49,23426.93,56.07,24051.02,57.56,623.79,23231.66,57.09,P 1,,2025.0,2.0,TPA Biaung,TPA Pemda (Non Regional),A,4221.22,4221.22,0.0,0.0,0.0,0.0,Dusun Biaung,,,Pemda DATI II,1.84,Open Dumping,-,-,17900,-,-,Setahun Sekali,-,-,-,TIDAK ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Bali,Kab. Klungkung,41782.11,624.09,1.49,23426.93,56.07,24051.02,57.56,623.79,23231.66,57.09,P 1,,2025.0,2.0,TPA Jungutbatu,TPA Pemda (Non Regional),A,1669.87,1669.87,0.0,0.0,0.0,0.0,Desa Jungutbatu,,,Pemda DATI II,0.9,Open Dumping,-,-,9000,-,Tidak Ada,-,-,-,-,TIDAK ADA,-,-
2025.0,Banten,Kab. Lebak,226522.8,104.83,0.05,35752.1,15.78,35856.93,15.83,0.0,6552.1,2.89,P 1,,2025.0,2.0,TPA Cihara,TPA Pemda (Non Regional),A,21900.0,20987.5,182.5,0.0,730.0,0.0,Jl. Raya Bayah,Pondok Panjang,Cihara,Lainnya,5,Open Dumping,-,-,-,Manual Book,Tidak Ada,Dua minggu sekali,-,Tidak ada Instalasi Pengolahan Air Lindi (IPAL) di TPA,-,ADA,-,-
2025.0,Banten,Kab. Lebak,226522.8,104.83,0.05,35752.1,15.78,35856.93,15.83,0.0,6552.1,2.89,P 1,,2025.0,2.0,TPA Dengung,TPA Pemda (Non Regional),A,32550.7,31638.2,182.5,0.0,730.0,0.0,Jn. Cipanas Raya,Sindangmulya,Maja,,9,Control Landfill,-,-,30,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,1,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",2,ADA,Tidak ada. Melepas gas Metana ke udara.,-
,Banten,Kota Serang,,,,,,,,,,,,,2025.0,2.0,Cilowong,TPA Pemda (Non Regional),A,145291.8,144090.95,0.0,1200.85,0.0,0.0,Kampung Pasir Gadung - Cikoak,Cilowong,Taktakan,Pemda DATI II,177,Control Landfill,1995,2026,-,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",1,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Banten,Kota Tangerang,616032.52,863.55,0.14,54267.93,8.81,55131.47,8.95,676.35,34375.43,5.69,P 1,,2025.0,2.0,TPA Rawa Kucing,TPA Pemda (Non Regional),A,553267.02,553267.02,0.0,0.0,0.0,0.0,Jl. Iskandar Muda,Kedaung Wetan,Neglasari,Pemda DATI II,34.5,Open Dumping,2003,-,-,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Tidak ditutup sama sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",2,ADA,Tidak ada. Melepas gas Metana ke udara.,-
2025.0,Bengkulu,Kab. Bengkulu Tengah,22387.82,0.0,0.0,216.63,0.97,216.63,0.97,0.0,216.63,0.97,P 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.0,Bengkulu,Kab. Bengkulu Utara,68313.98,1058.5,1.55,60126.66,88.02,61185.16,89.56,1058.5,45015.66,67.44,P 1,,2025.0,1.0,TPA Rama Agung,TPA Pemda (Non Regional),A,15111.0,12099.75,1496.5,0.0,1514.75,0.0,Jl. TPA,Desa Rama Agung,Arga Makmur,Pemda DATI II,4.7,Control Landfill,2010,-,20000,Manual Book,Tidak Ada,Tiga hari sekali atau seminggu dua kali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",4,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Bengkulu,Kab. Lebong,16865.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P 1,,2025.0,2.0,TPA,TPA Pemda (Non Regional),A,4380.0,4380.0,0.0,0.0,0.0,0.0,Desa Air kopras,Desa Air Kopras,Pinang Belapis,Pemda DATI II,1,Open Dumping,2012,2032,0,Manual Book,Tidak Ada,Tidak ditutup sama sekali,-,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",1,TIDAK ADA,-,-
2025.0,Bengkulu,Kab. Seluma,39695.03,0.0,0.0,1237.87,3.12,1237.87,3.12,0.0,825.42,2.08,P 1,,2025.0,2.0,TPA Talang Sali,TPA Pemda (Non Regional),A,303.2,303.2,0.0,0.0,0.0,0.0,Seluma Timur,,,Pemda DATI II,0,Open Dumping,-,-,8000,Manual Book,Tidak Ada,Tidak ditutup sama sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",-,ADA,-,-
2025.0,Bengkulu,Kota Bengkulu,73097.27,591.12,0.81,1987.9,2.72,2579.02,3.53,0.0,1568.15,2.15,P 1,,2025.0,2.0,TPA Air Sebakul,TPA Pemda (Non Regional),A,48752.14,48752.14,0.0,0.0,0.0,0.0,Air Sebakul Kelurahan Sukarami,,,Pemda DATI II,8.6,Open Dumping,1992,2032,20000,Manual Book,Tidak Ada,Tiga atau Empat Bulan Sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",1,ADA,Tidak ada. Gas Metana dibakar.,-
