Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahmasuk Landfill (ton/thn),Sampah Organikterolah (ton/thn),Sampah An-Organikterolah (ton/thn),RecoveryPemulung (ton/thn),Energi(MW),Alamat,Kelurahan,Kecamatan,Pengelola,Luas (hektar),Sistem Operasional,Luas Landfill Aktif (m2),Pencatatan,Jembatan Timbang,Penutupan Sampah Zona Aktif,Jml Sumur Pantau,IPL,Jml Uji Lindi,Ada Drainase,Pemanfaatan Gas Metana,Jumlah KK yang memanfaatkan gas Metana,Tahun Awal Operasi,Tahun Akhir Operasi,Ada Data SIPSN,Ada Data TPA
2025,Jawa Barat,Kab. Indramayu,419174.73,1099.1,0.26,106962.85,25.52,108061.95,25.78,799.35,31839.28,7.79,P 1,TPA Pecuk,TPA Pemda (Non Regional),A,112493.0,106835.5,2372.5,0.0,3285.0,0.0,Jl. Nyi Resik Desa Panyindangan Kulon,,,Pemda DATI II,13.3,Open Dumping,24000.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Dua Minggu Sekali,9.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",,ADA,Untuk Bahan Bakar,,2016.0,,True,True
2025,Jawa Barat,Kab. Kuningan,182181.87,1952.28,1.07,17995.3,9.88,19947.58,10.95,0.0,17995.3,9.88,P 1,Tempat Pembuangan  Sampah Akhir,TPA Pemda (Non Regional),A,102502.95,86077.95,1825.0,10950.0,3650.0,1.0,Desa Ciniru Kecamatan Jalaksana,,,Pemda DATI II,5.5,Open Dumping,4.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Sebulan Sekali,1.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",2.0,ADA,Tidak ada. Gas Metana dibakar.,,2000.0,,True,True
2025,Jawa Barat,Kab. Subang,,,,,,,,,,,,TPA Jalupang,TPA Pemda (Non Regional),A,219000.0,215350.0,0.0,0.0,3650.0,0.0,Desa Jalupang,,,Pemda DATI II,14.16,Tidak Diketahui,21000.0,Manual Book,Ada tapi Rusak,Tidak Ditutup,,,,TIDAK ADA,,,,,False,True
2025,Jawa Barat,Kab. Sumedang,179092.36,10.14,0.01,16963.16,9.47,16973.3,9.48,8.34,16963.16,9.48,P 1,TPAS Cibeureum,TPA Pemda (Non Regional),A,54202.5,53895.9,0.0,0.0,306.6,0.0,Cibeureum,,,Pemda DATI II,10.0,Open Dumping,62500.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Dua Minggu Sekali,2.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",1.0,TIDAK ADA,Tidak ada. Gas Metana dibakar.,,,,True,True
2025,Jawa Barat,Kota Banjar,31984.66,7439.56,23.26,22656.36,70.84,30095.92,94.09,7439.56,7260.66,45.96,P 1,TPA Cibeureum,TPA Pemda (Non Regional),A,16111.1,15815.45,98.55,0.0,197.1,0.0,Dusun Babakan,Cibeureum,Banjar,Pemda DATI II,10.3,Control Landfill,5000.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,2-3x Seminggu,4.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",12.0,ADA,Tidak ada. Gas Metana dibakar.,,2007.0,,True,True
2025,Jawa Barat,Kota Bekasi,,,,,,,,,,,,TPA Sumur Batu,TPA Pemda (Non Regional),A,483822.11,483822.11,0.0,0.0,0.0,0.0,"Jl. Pangkalan II, No. 108",Sumur Batu,Bantar Gebang,Pemda DATI II,22.0,Open Dumping,107000.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Setahun Sekali,4.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",4.0,ADA,Tidak ada. Gas Metana dibakar.,,,,False,True
2025,Jawa Barat,Kota Bogor,275707.63,57517.39,20.86,198249.75,71.91,255767.13,92.77,57304.31,10274.75,24.51,P 1,TPA Galuga,TPA Pemda (Non Regional),A,185055.0,185055.0,0.0,0.0,0.0,0.0,"Kp.Lalamping, RT 05 / RW 08",Galuga,Cibungbulang,Pemda DATI II,38.7,Control Landfill,10500.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Sebulan Sekali,1.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi serta proses kimia, masih berfungsi baik dan terawat.",2.0,ADA,Tidak ada. Gas Metana dibakar.,2.0,2010.0,2030.0,True,True
2025,Jawa Barat,Kota Cirebon,78969.28,43.51,0.06,8635.29,10.93,8678.8,10.99,2.96,8635.29,10.94,P 1,TPA Kopi Luhur Kota Cirebon,TPA Pemda (Non Regional),A,63980.06,62468.96,0.0,0.0,1511.1,0.0,Jl. Kopi Luhur,,,Pemda DATI II,142.0,Open Dumping,77073.0,Manual Book,Tidak Ada,Sebulan Sekali,2.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",2.0,ADA,,,,,True,True
2025,Jawa Barat,Kota Depok,,,,,,,,,,,,UPT TPA Cipayung,TPA Pemda (Non Regional),A,302950.0,299300.0,0.0,0.0,3650.0,0.0,Bulak Barat No.69 RT 01 RW 07,Cipayung,Cipayung,Pemda DATI II,18.26,Open Dumping,45000.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Setahun Sekali,3.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",9.0,ADA,Untuk Bahan Bakar,,1992.0,2016.0,False,True
2025,Jawa Barat,Kota Tasikmalaya,121962.85,0.0,0.0,20160.14,16.53,20160.14,16.53,0.0,20160.14,16.53,P 1,TPA Ciangir,TPA Pemda (Non Regional),A,81961.74,81961.74,0.0,0.0,0.0,0.0,Jl. Cikadongdong,Tamansari,Tamansari,Pemda DATI II,6.5,Open Dumping,40008.0,Manual Book,Ada tapi Rusak,3-4 Bulan Sekali,1.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",12.0,ADA,,,2002.0,,True,True
