Provinsi,Kabupaten/Kota,rasio_pengelolaan,rasio_pengurangan,rasio_penanganan,recycling_rate,Luas (hektar),Jml Sumur Pantau,utilisasi_tpa,efisiensi_landfill,rasio_recovery_pemulung,rasio_organik_terolah,sampah_per_hektar,proporsi_landfill_aktif,usia_operasi_tpa,skor_penutupan,skor_jembatan,skor_drainase,skor_infrastruktur,Jenis_TPA Pemda (Non Regional),Jenis_TPA Regional,Jenis_nan,Pengelola_Lainnya,Pengelola_Pemda DATI I,Pengelola_Pemda DATI II,Pengelola_Swasta,Pengelola_Tidak Diketahui,Pengelola_nan,Sistem Operasional_Control Landfill,Sistem Operasional_Open Dumping,Sistem Operasional_Sanitary Landfill,Sistem Operasional_Tidak Diketahui,Sistem Operasional_nan,Ada Data SIPSN,Ada Data TPA,P1/P2,Status
Aceh,Kota Subulussalam,0.005684348885088941,0.0,0.005684348885088941,0.005684348885088941,6899.0,,0.6631740365937098,0.8571428571428571,0.14285714285714285,0.0,1.8517176402377156,,,0.0,,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,P 1,A
Bali,Kab. Badung,0.9662709190720411,0.06027212292173982,0.9059987961503012,0.3499348096706833,10.0,3.0,0.6198782709496414,1.0,0.0,0.0,10220.0,0.5,,1.0,1.0,1.0,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,P 1,A
Bali,Kab. Bangli,0.24716118255252104,0.06255822115727167,0.1846029613952494,0.24666194699946473,4.75,3.0,0.6269592476489028,0.9804469273743017,0.019553072625698324,0.0,5501.894736842105,0.21056842105263157,17.0,1.0,0.0,1.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Bali,Kab. Buleleng,0.7399345190280282,0.0,0.7399345190280282,0.10884483903931884,4.8,2.0,0.6718309124943096,0.9948474038842648,0.0010809642200843152,0.002882571253558174,21103.84375,0.3821377083333333,21.0,4.0,0.0,1.0,5.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Bali,Kab. Gianyar,0.5275870876370473,0.13909115327326446,0.3884959343637828,0.3931663614387224,5.4,,0.13442067736185384,1.0,0.0,0.0,5097.157407407407,0.29074074074074074,,3.0,0.0,1.0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Bali,Kab. Jembrana,0.26547570627606637,0.0015740841330994537,0.2639016221429669,0.21503694998966622,2.0,2.0,0.32036462445879993,0.8641509433962264,0.13584905660377358,0.0,9672.5,0.365,,0.0,2.0,1.0,3.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Bali,Kab. Karangasem,0.09636349245410905,0.005452446901972287,0.09091104555213678,0.09636349245410905,1.0,2.0,0.10281080998862885,0.8266666666666667,0.006666666666666667,0.06666666666666667,10950.0,0.0077,6.0,0.0,1.0,1.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Bali,Kab. Klungkung,0.5756296175564135,0.014936775572128837,0.5606928419842847,0.5709489061227401,0.98,,0.13381492701062728,1.0,0.0,0.0,5705.173469387755,1.0,,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Bali,Kab. Klungkung,0.5756296175564135,0.014936775572128837,0.5606928419842847,0.5709489061227401,1.84,,0.10102936400291895,1.0,0.0,0.0,2294.141304347826,0.9728260869565217,,0.0,,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Bali,Kab. Klungkung,0.5756296175564135,0.014936775572128837,0.5606928419842847,0.5709489061227401,0.9,,0.039966148191175596,1.0,0.0,0.0,1855.411111111111,1.0,,,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Banten,Kab. Lebak,0.15829280761141926,0.0004627790226855752,0.15783002858873368,0.028924682195346343,5.0,,0.0966790097950405,0.9583333333333334,0.03333333333333333,0.008333333333333333,4380.0,,,2.0,0.0,1.0,3.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,P 1,A
Banten,Kab. Lebak,0.15829280761141926,0.0004627790226855752,0.15783002858873368,0.028924682195346343,9.0,1.0,0.14369723489202854,0.9719668087015025,0.022426553038797935,0.005606638259699484,3616.7444444444445,0.0003333333333333333,,3.0,2.0,1.0,6.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,P 1,A
Banten,Kota Serang,,,,,177.0,2.0,,0.9917349086459114,0.0,0.0,820.857627118644,,30.0,3.0,2.0,1.0,6.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,,A
Banten,Kota Tangerang,0.08949443123554582,0.0014017928793759132,0.0880926383561699,0.05689923642342777,34.5,3.0,0.8981133333675306,1.0,0.0,0.0,16036.725217391306,,22.0,0.0,2.0,1.0,3.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Bengkulu,Kab. Bengkulu Tengah,0.009676243600314815,0.0,0.009676243600314815,0.009676243600314815,,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,P 1,
Bengkulu,Kab. Bengkulu Utara,0.8956462498598384,0.015494632284636323,0.8801516175752021,0.6744470165550303,4.7,2.0,0.2211992333048082,0.8007246376811594,0.10024154589371981,0.09903381642512077,3215.106382978723,0.425531914893617,15.0,4.0,0.0,1.0,5.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Bengkulu,Kab. Lebong,0.0,0.0,0.0,0.0,1.0,,0.2596952908587258,1.0,0.0,0.0,4380.0,0.0,13.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Bengkulu,Kab. Seluma,0.03118450848884608,0.0,0.03118450848884608,0.020794038951475788,0.0,3.0,0.0076382358194464145,1.0,0.0,0.0,,1.0,,0.0,0.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Bengkulu,Kota Bengkulu,0.03528202900053586,0.00808675891726189,0.02719527008327397,0.021452921566017445,8.6,2.0,0.6669488477476655,1.0,0.0,0.0,5668.853488372093,0.23255813953488372,33.0,1.0,0.0,1.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
DKI Jakarta,Kab. Adm. Kep. Seribu,0.36434013790189956,0.10464249611490818,0.2596976417869914,0.3548710753028863,104.72,,0.7434496597715717,1.0,0.0,0.0,47.05414438502674,0.5818372803666921,36.0,1.0,2.0,0.0,3.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,P 1,A
